"GAME_ID","GAME_DATE","SEASON_TYPE","MATCHUP","HOME_TEAM","AWAY_TEAM","nh","j3210","j45"
"0020800118",2008-11-13,"Regular Season","DAL @ CHI","Chicago Bulls","Dallas Mavericks","j3210",886,562
"0020800118",2008-11-13,"Regular Season","DAL @ CHI","Chicago Bulls","Dallas Mavericks","j45",254,1178
"0020800119",2008-11-13,"Regular Season","DET @ GSW","Golden State Warriors","Detroit Pistons","j3210",723,305
"0020800119",2008-11-13,"Regular Season","DET @ GSW","Golden State Warriors","Detroit Pistons","j45",99,1753
"0020800122",2008-11-14,"Regular Season","WAS @ MIA","Miami Heat","Washington Wizards","j3210",1321,119
"0020800122",2008-11-14,"Regular Season","WAS @ MIA","Miami Heat","Washington Wizards","j45",263,1177
"0020800123",2008-11-14,"Regular Season","ATL @ NJN","New Jersey Nets","Atlanta Hawks","j3210",1132,596
"0020800123",2008-11-14,"Regular Season","ATL @ NJN","New Jersey Nets","Atlanta Hawks","j45",218,934
"0020800124",2008-11-14,"Regular Season","OKC @ NYK","New York Knicks","Oklahoma City Thunder","j3210",1299,159
"0020800124",2008-11-14,"Regular Season","OKC @ NYK","New York Knicks","Oklahoma City Thunder","j45",731,691
"0020800125",2008-11-14,"Regular Season","DEN @ BOS","Boston Celtics","Denver Nuggets","j3210",1039,108
"0020800125",2008-11-14,"Regular Season","DEN @ BOS","Boston Celtics","Denver Nuggets","j45",350,1383
"0020800126",2008-11-14,"Regular Season","MIL @ MEM","Memphis Grizzlies","Milwaukee Bucks","j3210",870,314
"0020800126",2008-11-14,"Regular Season","MIL @ MEM","Memphis Grizzlies","Milwaukee Bucks","j45",410,1286
"0020800128",2008-11-14,"Regular Season","ORL @ DAL","Dallas Mavericks","Orlando Magic","j3210",1132,697
"0020800128",2008-11-14,"Regular Season","ORL @ DAL","Dallas Mavericks","Orlando Magic","j45",135,916
"0020800130",2008-11-14,"Regular Season","PHX @ SAC","Sacramento Kings","Phoenix Suns","j3210",861,677
"0020800130",2008-11-14,"Regular Season","PHX @ SAC","Sacramento Kings","Phoenix Suns","j45",18,1324
"0020800132",2008-11-15,"Regular Season","GSW @ LAC","Los Angeles Clippers","Golden State Warriors","j3210",780,714
"0020800132",2008-11-15,"Regular Season","GSW @ LAC","Los Angeles Clippers","Golden State Warriors","j45",195,1191
"0020800133",2008-11-15,"Regular Season","NJN @ ATL","Atlanta Hawks","New Jersey Nets","j3210",1081,324
"0020800133",2008-11-15,"Regular Season","NJN @ ATL","Atlanta Hawks","New Jersey Nets","j45",536,939
"0020800134",2008-11-15,"Regular Season","OKC @ PHI","Philadelphia 76ers","Oklahoma City Thunder","j3210",1505,80
"0020800134",2008-11-15,"Regular Season","OKC @ PHI","Philadelphia 76ers","Oklahoma City Thunder","j45",304,991
"0020800136",2008-11-15,"Regular Season","POR @ MIN","Minnesota Timberwolves","Portland Trail Blazers","j3210",1540,362
"0020800136",2008-11-15,"Regular Season","POR @ MIN","Minnesota Timberwolves","Portland Trail Blazers","j45",315,663
"0020800137",2008-11-15,"Regular Season","IND @ CHI","Chicago Bulls","Indiana Pacers","j3210",666,807
"0020800137",2008-11-15,"Regular Season","IND @ CHI","Chicago Bulls","Indiana Pacers","j45",446,961
